skill
python
machine learning
deep learning
java
git
linux
tensorflow
pytorch
sql
aws
docker
kubernetes
tensorflow
pytorch
data analysis
project management
agile
javascript
react
node.js
rest api
tableau
powerbi
nosql
mongodb
flask
django
